date_mutation,commune,code_postal,zone_toulon,numero_voie,type_voie,voie,adresse_complete,type_local,nombre_pieces,surface_reelle_bati,valeur_fonciere,prix_m2
26/01/2023,TOULON,83100,Est Toulon,338,CHE,DE LA RESSENCE,338 CHE DE LA RESSENCE,Appartement,3.0,68.0,248000.0,3647.06
23/01/2023,TOULON,83000,Centre / Littoral,43,RUE,VINCENT SCOTTO,43 RUE VINCENT SCOTTO,Appartement,2.0,52.0,125000.0,2403.85
26/01/2023,TOULON,83000,Centre / Littoral,224,RUE,GENERAL MICHEL AUDEOUD,224 RUE GENERAL MICHEL AUDEOUD,Appartement,3.0,53.0,120000.0,2264.15
01/02/2023,TOULON,83000,Centre / Littoral,2,RUE,LOUIS JOURDAN,2 RUE LOUIS JOURDAN,Appartement,3.0,46.0,109000.0,2369.57
26/01/2023,TOULON,83000,Centre / Littoral,17,RUE,MAC MAHON,17 RUE MAC MAHON,Maison,2.0,43.0,300000.0,6976.74
30/01/2023,TOULON,83000,Centre / Littoral,949,AV,FRANCOIS NARDI,949 AV FRANCOIS NARDI,Appartement,4.0,67.0,212000.0,3164.18
03/02/2023,TOULON,83200,Ouest Toulon,3,BD,LAUGIER,3 BD LAUGIER,Appartement,2.0,43.0,153000.0,3558.14
06/02/2023,TOULON,83100,Est Toulon,9001,RPT,MIRASOULEOU,9001 RPT MIRASOULEOU,Appartement,1.0,27.0,75000.0,2777.78
01/02/2023,TOULON,83000,Centre / Littoral,9002,,LES CHARDONS,9002  LES CHARDONS,Appartement,3.0,47.0,125000.0,2659.57
30/01/2023,TOULON,83200,Ouest Toulon,737,CHE,DE FORGENTIER,737 CHE DE FORGENTIER,Appartement,1.0,23.0,85000.0,3695.65
31/01/2023,TOULON,83000,Centre / Littoral,1,PL,ARMAND VALLE,1 PL ARMAND VALLE,Appartement,3.0,71.0,180000.0,2535.21
03/02/2023,TOULON,83100,Est Toulon,37,RUE,JOSEPH FIANDINO,37 RUE JOSEPH FIANDINO,Maison,4.0,67.0,240000.0,3582.09
08/02/2023,TOULON,83200,Ouest Toulon,1,RUE,ESPANET,1 RUE ESPANET,Appartement,1.0,15.0,46000.0,3066.67
24/01/2023,TOULON,83000,Centre / Littoral,347,AV,DE LA RESISTANCE,347 AV DE LA RESISTANCE,Appartement,1.0,30.0,309000.0,10300.0
24/01/2023,TOULON,83000,Centre / Littoral,347,AV,DE LA RESISTANCE,347 AV DE LA RESISTANCE,Appartement,2.0,45.0,309000.0,6866.67
11/01/2023,TOULON,83000,Centre / Littoral,4,RUE,MIRABEAU,4 RUE MIRABEAU,Appartement,2.0,47.0,100000.0,2127.66
20/01/2023,TOULON,83200,Ouest Toulon,121,AV,DU CARMEL,121 AV DU CARMEL,Maison,8.0,210.0,540420.0,2573.43
02/02/2023,TOULON,83000,Centre / Littoral,1,RUE,DRAGON,1 RUE DRAGON,Appartement,3.0,63.0,82000.0,1301.59
09/01/2023,TOULON,83100,Est Toulon,29,RUE,RICHELIEU,29 RUE RICHELIEU,Appartement,2.0,31.0,77000.0,2483.87
06/02/2023,TOULON,83100,Est Toulon,9,RUE,LIEUTENANT THIERRY,9 RUE LIEUTENANT THIERRY,Appartement,4.0,72.0,192000.0,2666.67
26/01/2023,TOULON,83200,Ouest Toulon,9001,,LE RICHELIEU,9001  LE RICHELIEU,Appartement,3.0,55.0,155000.0,2818.18
31/01/2023,TOULON,83000,Centre / Littoral,65,AV,FRANKLIN ROOSEVELT,65 AV FRANKLIN ROOSEVELT,Appartement,2.0,54.0,160000.0,2962.96
26/01/2023,TOULON,83200,Ouest Toulon,9009,VC,CAR. DU COLLET ST PIERRE,9009 VC CAR. DU COLLET ST PIERRE,Maison,4.0,77.0,246000.0,3194.81
01/02/2023,TOULON,83200,Ouest Toulon,325,RTE,DE PLAISANCE,325 RTE DE PLAISANCE,Appartement,3.0,70.0,229000.0,3271.43
10/01/2023,TOULON,83000,Centre / Littoral,40,RUE,PICOT,40 RUE PICOT,Appartement,3.0,63.0,142500.0,2261.9
